date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:01	135294/135294	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:01%20GMT	https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden.html	(from )
13:14:02	152/152	---M-Z	200	added ('OK')	text/plain	date:Fri,%2025%20Nov%202022%2012:14:01%20GMT	https://www.windesheim.nl/robots.txt		(from )
13:14:03	75981/75981	---M--	200	added ('OK')	image/jpg	etag:QnNdl7f/qFjKr6iSex1pwnygS0w	https://www.windesheim.nl/getmedia/e1b52f39-6fa5-4a53-b030-d9eeedf00ace/Accountancymkb_posthbo_190523-297.jpg?width=1920&height=520&ext=.jpg&type=SocialMediaImage	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/getmedia/e1b52f39-6fa5-4a53-b030-d9eeedf00ace/Accountancymkb_posthbo_190523-2975ef1.jpg	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:03	591676/591676	---M-Z	200	added ('OK')	text/css	etag:%220bdb22ce3ffd81:0%22	https://www.windesheim.nl/assets/css/main.css?v=202211241000	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/assets/css/maina142.css	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2025%20Nov%202022%2012:14:04%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Windesheim%20Phising/www.googletagmanager.com/gtm.35445.delayed	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:04	23612/23612	---M--	200	added ('OK')	image/png	etag:P/2Z+cJ0gEQwUWWQiiFJECsg2Sw	https://www.windesheim.nl/getmedia/d06bfafc-febf-4c5e-bcec-bdf619d2ae93/Windesheim_logo.png?width=159&height=102&ext=.png	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/getmedia/d06bfafc-febf-4c5e-bcec-bdf619d2ae93/Windesheim_logodf9e.png	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:04	97652/97652	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:05%20GMT	https://www.windesheim.nl/professionals/hulp-bij-studiekeuze	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/hulp-bij-studiekeuze.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:04	122397/122397	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:04%20GMT	https://www.windesheim.nl/professionals/open-avond-studeren-in-deeltijd	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/open-avond-studeren-in-deeltijd.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:05	89935/89935	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:05%20GMT	https://www.windesheim.nl/professionals/hulp-bij-studiekeuze/proefles-volgen	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/hulp-bij-studiekeuze/proefles-volgen.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:05	95830/95830	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:05%20GMT	https://www.windesheim.nl/professionals/hulp-bij-studiekeuze/persoonlijk-adviesgesprek	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/hulp-bij-studiekeuze/persoonlijk-adviesgesprek.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:06	127628/127628	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:06%20GMT	https://www.windesheim.nl/professionals/opleidingsvormen	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/opleidingsvormen.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:06	117060/117060	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:06%20GMT	https://www.windesheim.nl/professionals/interessegebieden	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/interessegebieden.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:07	139404/139404	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:06%20GMT	https://www.windesheim.nl/professionals/toelating	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/toelating.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:07	156056/156056	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:07%20GMT	https://www.windesheim.nl/professionals/studeren-bij-windesheim	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/studeren-bij-windesheim.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:08	132735/132735	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:08%20GMT	https://www.windesheim.nl/professionals/carriereswitch	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/carriereswitch.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:08	106317/106317	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:08%20GMT	https://www.windesheim.nl/professionals/hbo-er	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/hbo-er.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:08	93344/93344	---M--	200	added ('OK')	image/jpg	etag:5S/3BOPdU4zcq0INlifg2zTHbio	https://www.windesheim.nl/getmedia/e3816670-5a25-4aab-81b2-334f4431562a/Prof-Alg190523-334.jpg?width=900&height=600&ext=.jpg&type=TwoColumnsImage	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/getmedia/e3816670-5a25-4aab-81b2-334f4431562a/Prof-Alg190523-334f747.jpg	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:09	93599/93599	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:09%20GMT	https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden/stap-budget	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden/stap-budget.html	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:09	4188/4188	---M-Z	200	added ('OK')	application/x-javascript	etag:%220526d37e3ffd81:0%22	https://www.windesheim.nl/assets/js/tabby.js?v=202211241000	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/assets/js/tabbya142.js	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:09	739/739	---M-Z	200	added ('OK')	application/x-javascript	etag:%220526d37e3ffd81:0%22	https://www.windesheim.nl/assets/js/youtube_iframe_api.js?v=202211241000	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/assets/js/youtube_iframe_apia142.js	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:10	265301/265301	---M-Z	200	added ('OK')	application/x-javascript	etag:%220526d37e3ffd81:0%22	https://www.windesheim.nl/assets/js/main.js?v=202211241000	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/assets/js/maina142.js	(from https://www.windesheim.nl/professionals/collegegeld-en-financieringsmogelijkheden)
13:14:11	19723/19723	---M--	200	added ('OK')	image/png	etag:%220bdb22ce3ffd81:0%22	https://www.windesheim.nl/assets/img/parallelogram-mask.png	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/assets/img/parallelogram-mask.png	(from https://www.windesheim.nl/assets/css/main.css?v=202211241000)
13:14:11	79512/79512	---M--	200	added ('OK')	image/jpg	etag:FlSOmCjyZxJpYn0EqxfxyH5plN4	https://www.windesheim.nl/getmedia/38bf02d8-b6f7-4178-b7b6-f1bfc4637bb9/Algemeen_professionals_190506-62.jpg?width=1920&height=520&ext=.jpg&type=SocialMediaImage	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/getmedia/38bf02d8-b6f7-4178-b7b6-f1bfc4637bb9/Algemeen_professionals_190506-625ef1.jpg	(from https://www.windesheim.nl/professionals/hulp-bij-studiekeuze)
13:14:11	82195/82195	---M--	200	added ('OK')	image/jpg	etag:OPcPrmCvNIcPf3ZYolWaCnNCA4s	https://www.windesheim.nl/getmedia/6c8eff7b-10d0-4418-be47-b1c814cace77/Professional_Coaching_en_Supervisie_190523-343.jpg?width=950&height=600&ext=.jpg&type=TwoColumnsImage	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/getmedia/6c8eff7b-10d0-4418-be47-b1c814cace77/Professional_Coaching_en_Supervisie_190523-34391ba.jpg	(from https://www.windesheim.nl/professionals/hulp-bij-studiekeuze)
13:14:12	96971/96971	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Nov%202022%2012:14:12%20GMT	https://www.windesheim.nl/professionals/hulp-bij-studiekeuze/studiekeuze-en-loopbaanbegeleiding	C:/My%20Web%20Sites/Windesheim%20Phising/www.windesheim.nl/professionals/hulp-bij-studiekeuze/studiekeuze-en-loopbaanbegeleiding.html	(from https://www.windesheim.nl/professionals/hulp-bij-studiekeuze)
